"Name"	"Product"	"Parent_class"	"Pathways of gene"	"GO terms (biological process)"	"GO terms (cellular component)"	"GO terms (molecular function)"
"histidine"	""	"amino acids"	""	""	""	""
"homoserine"	""	"amino acids"	""	""	""	""
"hpf"	"Ribosome hibernation promotion factor"	"UNCLASSIFIED"	""	"negative regulation of translational elongation" // "regulation of translation" // "primary metabolic process"	"cytosolic small ribosomal subunit" // "cytoplasm" // "cytosol"	"ribosomal small subunit binding" // "ribosome binding"
"hpt"	"hypoxanthine-guanine phosphoribosyltransferase"	"UNCLASSIFIED"	"adenine and adenosine salvage III" // "guanine and guanosine salvage" // "guanine and guanosine salvage II"	"hypoxanthine metabolic process" // "GMP salvage" // "guanine salvage" // "adenine salvage" // "purine-containing compound salvage" // "IMP salvage" // "nucleoside metabolic process" // "IMP biosynthetic process" // "GMP biosynthetic process" // "purine ribonucleoside salvage"	"cytosol" // "cytoplasm"	"magnesium ion binding" // "guanine phosphoribosyltransferase activity" // "metal ion binding" // "transferase activity, transferring glycosyl groups" // "transferase activity" // "hypoxanthine phosphoribosyltransferase activity" // "nucleotide binding"
"hpx"	"possible non-heme haloperoxidase"	"UNCLASSIFIED"	""	"cellular oxidant detoxification"	"plasma membrane"	"peroxidase activity"
"hrcA"	"probable heat shock protein transcriptional repressor"	"UNCLASSIFIED"	""	"negative regulation of transcription, DNA-templated" // "regulation of transcription, DNA-templated" // "transcription, DNA-templated"	"cytosol" // "plasma membrane"	"DNA binding"
"hrp1"	"hypoxic response protein 1"	"UNCLASSIFIED"	""	"response to host immune response" // "modulation by symbiont of host immune response" // "response to hypoxia"	"plasma membrane" // "cytosol" // "cell wall" // "extracellular region"	"metal ion binding"
"hsaA"	"3-hydroxy-9,10-seconandrost-1,3,5(10)-triene-9,17-dione 4-hydroxylase subunit"	|Genes|	"superpathway of cholesterol degradation II (cholesterol dehydrogenase)" // "androstenedione degradation"	"oxidation-reduction process" // "growth of symbiont in host" // "aromatic compound catabolic process" // "lipid catabolic process" // "steroid metabolic process" // "metabolic process" // "cholesterol catabolic process" // "steroid biosynthetic process" // "lipid metabolic process"	"plasma membrane"	"oxidoreductase activity, acting on the CH-CH group of donors, with a flavin as acceptor" // "flavin adenine dinucleotide binding" // "3-hydroxy-9,10-secoandrosta-1,3,5(10)-triene-9,17-dione monooxygenase activity" // "oxidoreductase activity, acting on paired donors, with incorporation or reduction of molecular oxygen, reduced flavin or flavoprotein as one donor, and incorporation of one atom of oxygen" // "oxidoreductase activity, acting on the CH-CH group of donors" // "oxidoreductase activity" // "monooxygenase activity"
"hsaB"	"3-hydroxy-9,10-seconandrost-1,3,5(10)-triene-9,17-dione 4-hydroxylase reductase component"	|Genes|	""	"oxidation-reduction process" // "aromatic compound catabolic process" // "lipid catabolic process" // "steroid metabolic process" // "cholesterol catabolic process" // "steroid biosynthetic process" // "lipid metabolic process"	""	"flavin adenine dinucleotide binding" // "cofactor binding" // "riboflavin reductase (NADPH) activity" // "flavin reductase (NADH) activity" // "oxidoreductase activity, acting on the CH-NH group of donors, NAD or NADP as acceptor" // "oxidoreductase activity" // "FMN binding"
"hsaC"	"3,4-dihydroxy-9,10-secoandrosta-1,3,5(10)-triene-9,17-dione 4,5-dioxygenase monomer"	|Genes|	"superpathway of cholesterol degradation II (cholesterol dehydrogenase)" // "androstenedione degradation"	"response to cholesterol" // "oxidation-reduction process" // "aromatic compound catabolic process" // "lipid catabolic process" // "pathogenesis" // "cholesterol metabolic process" // "steroid metabolic process" // "cellular aromatic compound metabolic process" // "cholesterol catabolic process" // "lipid metabolic process"	"cytosol"	"dioxygenase activity" // "3,4-dihydroxy-9,10-secoandrosta-1,3,5(10)-triene-9,17-dione 4,5-dioxygenase activity" // "metal ion binding" // "oxidoreductase activity" // "ferrous iron binding" // "iron ion binding" // "catalytic activity"
"hsaD"	"4,5-9,10-diseco-3-hydroxy-5,9,17-trioxoandrosta-1(10),2-diene-4-oate hydrolase monomer"	|Genes|	"superpathway of cholesterol degradation II (cholesterol dehydrogenase)" // "androstenedione degradation"	"growth of symbiont in host" // "aromatic compound catabolic process" // "lipid catabolic process" // "steroid biosynthetic process" // "lipid metabolic process"	"cytosol" // "plasma membrane" // "cell wall"	"4,5-9,10-diseco-3-hydroxy-5,9,17-trioxoandrosta-1(10),2-diene-4-oate hydrolase activity" // "4,9-DSHA hydrolase activity" // "2,6-dioxo-6-phenylhexa-3-enoate hydrolase activity" // "hydrolase activity" // "protein binding"
"hsaE"	G185E-7813-MONOMER	|Genes|	"superpathway of cholesterol degradation II (cholesterol dehydrogenase)" // "androstenedione degradation"	"metabolic process"	"cytoplasm" // "cytosol"	"2-oxopent-4-enoate hydratase activity" // "catalytic activity"
"hsaF"	"4-hydroxy-2-oxohexanoate aldolase monomer"	|Genes|	"superpathway of cholesterol degradation II (cholesterol dehydrogenase)" // "androstenedione degradation"	"aromatic compound catabolic process"	"cytosol" // "cell wall"	"manganese ion binding" // "metal ion binding" // "oxo-acid-lyase activity" // "lyase activity" // "4-hydroxy-2-oxovalerate aldolase activity" // "catalytic activity"
"hsaG"	"propanal dehydrogenase"	|Genes|	"superpathway of pyrimidine deoxyribonucleosides degradation" // "superpathway of purine deoxyribonucleosides degradation" // "2'-deoxy-&alpha;-D-ribose 1-phosphate degradation" // "mixed acid fermentation" // "ethanol degradation I" // "superpathway of cholesterol degradation II (cholesterol dehydrogenase)" // "androstenedione degradation"	"oxidation-reduction process" // "aromatic compound catabolic process"	"cytosol"	"NAD binding" // "oxidoreductase activity, acting on the aldehyde or oxo group of donors, NAD or NADP as acceptor" // "oxidoreductase activity" // "acetaldehyde dehydrogenase (acetylating) activity"
"hsdM"	"possible type I restriction/modification system DNA methylase"	"UNCLASSIFIED"	""	"methylation" // "DNA methylation"	"cytosol" // "plasma membrane" // "cell wall"	"transferase activity" // "N-methyltransferase activity" // "methyltransferase activity" // "DNA binding"
"hsdS"	"possible type I restriction/modification system specificity determinant"	"UNCLASSIFIED"	""	"DNA modification"	""	"DNA binding"
"hsdS.1"	"possible type I restriction/modification system specificity determinant (fragment)"	"UNCLASSIFIED"	""	""	""	""
"hsp"	"heat shock protein"	"UNCLASSIFIED"	""	"cellular response to superoxide" // "response to antibiotic" // "response to hydrogen peroxide" // "pathogenesis"	"plasma membrane" // "cell wall"	""
"hsp22.5"	"heat shock protein 22.5"	|ORFs|	""	"response to heat"	""	""
"hspR"	"probable heat shock protein transcriptional repressor"	"UNCLASSIFIED"	""	"negative regulation of transcription, DNA-templated" // "regulation of transcription, DNA-templated"	"cytosol" // "plasma membrane"	"bacterial-type RNA polymerase regulatory region sequence-specific DNA binding" // "DNA binding"
"hspX"	"heat shock protein"	"UNCLASSIFIED"	""	"response to host" // "cellular response to hypoxia" // "response to host immune response" // "response to nitrosative stress" // "protein autophosphorylation" // "negative regulation of growth" // "growth of symbiont in host vacuole" // "response to iron ion" // "response to heat" // "cellular response to starvation" // "protein folding" // "response to hypoxia"	"plasma membrane" // "cytosol" // "cytoplasm" // "cell wall" // "extracellular region"	"protein folding chaperone" // "protein binding"
"htdX"	"probable 3-hydroxyacyl-thioester dehydratase"	"UNCLASSIFIED"	"stearate biosynthesis II (bacteria and plants)" // "palmitate biosynthesis II (bacteria and plants)" // "superpathway of mycolate biosynthesis" // "mycolate biosynthesis" // "fatty acid elongation -- saturated"	"oxidation-reduction process" // "fatty acid biosynthetic process" // "fatty acid metabolic process"	"plasma membrane" // "fatty acid synthase complex"	"3-hydroxyacyl-[acyl-carrier-protein] dehydratase activity" // "3-hydroxyacyl-CoA dehydratase activity" // "fatty acid synthase activity"
"htdY"	"probable 3-hydroxyacyl-thioester dehydratase"	"UNCLASSIFIED"	"stearate biosynthesis II (bacteria and plants)" // "palmitate biosynthesis II (bacteria and plants)" // "superpathway of mycolate biosynthesis" // "mycolate biosynthesis" // "fatty acid elongation -- saturated"	""	""	""
"htdZ"	"probable 3-hydroxyl-thioester dehydratase"	"UNCLASSIFIED"	"stearate biosynthesis II (bacteria and plants)" // "palmitate biosynthesis II (bacteria and plants)" // "superpathway of mycolate biosynthesis" // "mycolate biosynthesis" // "fatty acid elongation -- saturated"	"fatty acid biosynthetic process" // "fatty acid metabolic process" // "lipid metabolic process"	""	"3-hydroxyacyl-CoA dehydratase activity" // "lyase activity" // "protein binding" // "enoyl-CoA hydratase activity"
"htpG"	"probable chaperone protein"	"UNCLASSIFIED"	""	"response to heat" // "cellular response to DNA damage stimulus" // "cellular response to superoxide" // "response to stress" // "protein folding"	"cytosol" // "plasma membrane" // "cytoplasm" // "cell wall" // "extracellular region"	"identical protein binding" // "ATPase activity, coupled" // "protein binding" // "unfolded protein binding" // "ATP binding" // "nucleotide binding"
"htpX"	"probable protease transmembrane protein heat shock protein"	"UNCLASSIFIED"	""	"proteolysis"	"integral component of membrane" // "membrane" // "integral component of plasma membrane" // "plasma membrane" // "extracellular region"	"zinc ion binding" // "metal ion binding" // "hydrolase activity" // "metallopeptidase activity" // "peptidase activity" // "metalloendopeptidase activity"
"htrA"	"probable serine protease"	"UNCLASSIFIED"	""	"growth" // "proteolysis"	"outer membrane-bounded periplasmic space" // "integral component of membrane" // "membrane" // "integral component of plasma membrane" // "plasma membrane" // "cell wall"	"peptidase activity" // "serine-type endopeptidase activity"
"hupB"	"DNA-binding protein HU homolog"	"UNCLASSIFIED"	""	"positive regulation of transcription, DNA-templated" // "nucleoid organization" // "DNA protection" // "growth" // "chromosome condensation" // "cellular response to iron ion starvation"	"protein-DNA complex" // "cytosol" // "outer membrane-bounded periplasmic space" // "plasma membrane" // "cell wall" // "extracellular region"	"DNA-binding transcription activator activity" // "transcription regulatory region sequence-specific DNA binding" // "supercoiled DNA binding" // "protein binding" // "double-stranded DNA binding" // "damaged DNA binding" // "DNA binding"
"hycD"	"possible formate hydrogenlyase"	"UNCLASSIFIED"	"mixed acid fermentation" // "hydrogen production V"	"oxidation-reduction process"	"integral component of membrane" // "membrane" // "plasma membrane"	"lyase activity"
"hycE"	"possible formate hydrogenase"	"UNCLASSIFIED"	"mixed acid fermentation" // "hydrogen production V"	"oxidation-reduction process" // "metabolic process"	"cytosol" // "plasma membrane"	"NAD binding" // "quinone binding" // "oxidoreductase activity, acting on NAD(P)H" // "nickel cation binding" // "NADH dehydrogenase (ubiquinone) activity" // "catalytic activity"
"hycP"	"possible hydrogenase"	"UNCLASSIFIED"	"mixed acid fermentation" // "hydrogen production V"	"growth"	"integral component of membrane" // "membrane" // "plasma membrane"	""
"hycQ"	"possible hydrogenase"	"UNCLASSIFIED"	"mixed acid fermentation" // "hydrogen production V"	"growth"	"plasma membrane" // "integral component of membrane" // "membrane"	""
"icd1"	"isocitrate dehydrogenase subunit"	|Genes|	"mixed acid fermentation" // "TCA cycle V (2-oxoglutarate:ferredoxin oxidoreductase)"	"NADP metabolic process" // "oxidation-reduction process" // "isocitrate metabolic process" // "tricarboxylic acid cycle" // "glyoxylate cycle"	"cytosol" // "plasma membrane"	"protein homodimerization activity" // "NAD binding" // "metal ion binding" // "oxidoreductase activity, acting on the CH-OH group of donors, NAD or NADP as acceptor" // "oxidoreductase activity" // "zinc ion binding" // "protein binding" // "isocitrate dehydrogenase (NADP+) activity" // "magnesium ion binding"
"icd2"	"probable isocitrate dehydrogenase [NADP]"	"UNCLASSIFIED"	"mixed acid fermentation" // "TCA cycle V (2-oxoglutarate:ferredoxin oxidoreductase)"	"oxidation-reduction process" // "isocitrate metabolic process" // "tricarboxylic acid cycle" // "glyoxylate cycle"	"plasma membrane" // "cytosol" // "cell wall" // "extracellular region"	"oxidoreductase activity" // "metal ion binding" // "protein homodimerization activity" // "isocitrate dehydrogenase (NADP+) activity" // "isocitrate dehydrogenase activity" // "magnesium ion binding"
"icl1"	"isocitrate lyase subunit"	|Genes|	"glyoxylate cycle" // "TCA cycle V (2-oxoglutarate:ferredoxin oxidoreductase)"	"response to acidic pH" // "maintenance of symbiont tolerance to host environment" // "cellular response to hypoxia" // "response to fatty acid" // "response to host immune response" // "carboxylic acid metabolic process" // "response to acetate" // "pathogenesis" // "metabolic process" // "isocitrate metabolic process" // "tricarboxylic acid cycle" // "glyoxylate cycle" // "response to acid chemical"	"extracellular region" // "plasma membrane" // "cytosol"	"zymogen binding" // "metal ion binding" // "methylisocitrate lyase activity" // "lyase activity" // "isocitrate lyase activity" // "catalytic activity"
"ideR"	"iron-dependent repressor and activator"	"UNCLASSIFIED"	""	"negative regulation of transcription, DNA-templated" // "growth" // "siderophore biosynthetic process from catechol" // "response to oxidative stress" // "regulation of transcription, DNA-templated" // "transcription, DNA-templated"	"cytosol" // "plasma membrane" // "cytoplasm" // "cell wall"	"DNA-binding transcription repressor activity" // "transcription regulatory region sequence-specific DNA binding" // "cobalt ion binding" // "protein dimerization activity" // "transition metal ion binding" // "cadmium ion binding" // "manganese ion binding" // "nickel cation binding" // "zinc ion binding" // "ferrous iron binding" // "protein binding" // "iron ion binding" // "DNA-binding transcription factor activity" // "DNA binding"
"idi"	"probable isopentenyl-diphosphate delta-isomerase"	"UNCLASSIFIED"	"superpathway of mycolyl-arabinogalactan-peptidoglycan complex biosynthesis" // "mono-<i>trans</i>, poly-<i>cis</i> decaprenyl phosphate biosynthesis" // "<i>trans, trans</i>-farnesyl diphosphate biosynthesis"	"isopentenyl diphosphate biosynthetic process" // "dimethylallyl diphosphate biosynthetic process" // "isoprenoid biosynthetic process"	"cytosol" // "cytoplasm"	"metal ion binding" // "isomerase activity" // "hydrolase activity" // "isopentenyl-diphosphate delta-isomerase activity"
"idsA1"	G185E-7675-MONOMER	|Genes|	"<i>trans, trans</i>-farnesyl diphosphate biosynthesis"	"farnesyl diphosphate biosynthetic process" // "growth" // "geranylgeranyl diphosphate biosynthetic process" // "geranyl diphosphate biosynthetic process" // "sterol biosynthetic process" // "isoprenoid biosynthetic process" // "lipid metabolic process"	"cytosol" // "cytoplasm"	"metal ion binding" // "manganese ion binding" // "transferase activity" // "iron ion binding" // "geranyltranstransferase activity" // "dimethylallyltranstransferase activity" // "magnesium ion binding"
